Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0/0   10.5.146.254    YES manual up                    up
GigabitEthernet0/0/1   unassigned      YES unset  down                  down
GigabitEthernet0/0/2   unassigned      YES unset  down                  down
GigabitEthernet0/0/3   unassigned      YES unset  down                  down
Te0/0/4                unassigned      YES unset  administratively down down
Te0/0/5                unassigned      YES unset  administratively down down
Async1/0/0             unassigned      YES unset  up                    down
Async1/0/1             unassigned      YES unset  up                    down
Async1/0/2             unassigned      YES unset  up                    down
Async1/0/3             unassigned      YES unset  up                    down
Async1/0/4             unassigned      YES unset  up                    down
Async1/0/5             unassigned      YES unset  up                    down
Async1/0/6             unassigned      YES unset  up                    down
Async1/0/7             unassigned      YES unset  up                    down
Async1/0/8             unassigned      YES unset  up                    down
Async1/0/9             unassigned      YES unset  up                    down
Async1/0/10            unassigned      YES unset  up                    down
Async1/0/11            unassigned      YES unset  up                    down
Async1/0/12            unassigned      YES unset  up                    down
Async1/0/13            unassigned      YES unset  up                    down
Async1/0/14            unassigned      YES unset  up                    down
Async1/0/15            unassigned      YES unset  up                    down
Async1/0/16            unassigned      YES unset  up                    down
Async1/0/17            unassigned      YES unset  up                    down
Async1/0/18            unassigned      YES unset  up                    down
Async1/0/19            unassigned      YES unset  up                    down
Async1/0/20            unassigned      YES unset  up                    down
Async1/0/21            unassigned      YES unset  up                    down
Async1/0/22            unassigned      YES unset  up                    down
Async1/0/23            unassigned      YES unset  up                    down
Async1/0/24            unassigned      YES unset  up                    down
Async1/0/25            unassigned      YES unset  up                    down
Async1/0/26            unassigned      YES unset  up                    down
Async1/0/27            unassigned      YES unset  up                    down
Async1/0/28            unassigned      YES unset  up                    down
Async1/0/29            unassigned      YES unset  up                    down
Async1/0/30            unassigned      YES unset  up                    down
Async1/0/31            unassigned      YES unset  up                    down
Async1/0/32            unassigned      YES unset  up                    down
Async1/0/33            unassigned      YES unset  up                    down
Async1/0/34            unassigned      YES unset  up                    down
Async1/0/35            unassigned      YES unset  up                    down
Async1/0/36            unassigned      YES unset  up                    down
Async1/0/37            unassigned      YES unset  up                    down
Async1/0/38            unassigned      YES unset  up                    down
Async1/0/39            unassigned      YES unset  up                    down
Async1/0/40            unassigned      YES unset  up                    down
Async1/0/41            unassigned      YES unset  up                    down
Async1/0/42            unassigned      YES unset  up                    down
Async1/0/43            unassigned      YES unset  up                    down
Async1/0/44            unassigned      YES unset  up                    down
Async1/0/45            unassigned      YES unset  up                    down
Async1/0/46            unassigned      YES unset  up                    down
Async1/0/47            unassigned      YES unset  up                    down
Async1/0/48            unassigned      YES unset  up                    down
Async1/0/49            unassigned      YES unset  up                    down
Async1/0/50            unassigned      YES unset  up                    down
Async1/0/51            unassigned      YES unset  up                    down
Async1/0/52            unassigned      YES unset  up                    down
Async1/0/53            unassigned      YES unset  up                    down
Async1/0/54            unassigned      YES unset  up                    down
Async1/0/55            unassigned      YES unset  up                    down
Async1/0/56            unassigned      YES unset  up                    down
Async1/0/57            unassigned      YES unset  up                    down
Async1/0/58            unassigned      YES unset  up                    down
Async1/0/59            unassigned      YES unset  up                    down
Async1/0/60            unassigned      YES unset  up                    down
Async1/0/61            unassigned      YES unset  up                    down
Async1/0/62            unassigned      YES unset  up                    down
Async1/0/63            unassigned      YES unset  up                    down
